"hfpxzc href","qBF1Pd","fontBodyMedium","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","EgL07d src","R8c4Qb","W4Efsd 5","W4Efsd 6","MW4etd","UY7F9","W4Efsd 7","W4Efsd 8","lcr4fd href","EgL07d src 2","R8c4Qb 2","W4Efsd 9"
"https://www.google.es/maps/place/Sahaguian+L.+Meguerditchian+College/data=!4m7!3m6!1s0x151f17ae4374194d:0x191dd4b296cbb744!8m2!3d33.8753984!4d35.5310508!16s%2Fg%2F11byz5ckbh!19sChIJTRl0Q64XHxURRLfLlrLUHRk?authuser=0&hl=es&rclk=1","Sahaguian L. Meguerditchian College","","·","Escuela","·","VGGJ+5C3","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","","4,6","(9)","+961 1 492 726","","https://www.facebook.com/SahaguianCollege/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/Saint+Mary's+Orthodox+College/data=!4m7!3m6!1s0x151f16d593e66297:0x12407403890131d!8m2!3d33.8989002!4d35.483225!16s%2Fg%2F1tgcv35p!19sChIJl2Lmk9UWHxURHROQOEAHJAE?authuser=0&hl=es&rclk=1","Saint Mary's Orthodox College","","·","Escuela","·","VFXM+H79","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","","3,6","(18)","+961 1 354 494","","http://www.stmaryorthodoxcollege.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/Maths+Tutorial/data=!4m7!3m6!1s0x151f174190dd2633:0x77951f652a3a6d2e!8m2!3d33.8937913!4d35.5017767!16s%2Fg%2F11qms1k05_!19sChIJMybdkEEXHxURLm06KmUflXc?authuser=0&hl=es&rclk=1","Maths Tutorial","No hay reseñas","·","·","Baabda- Main Road- Centre 114","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/CIS+College/data=!4m7!3m6!1s0x151f17642d233d0f:0x47b0ff499007e268!8m2!3d33.858388!4d35.506256!16s%2Fg%2F11g_l_q8b!19sChIJDz0jLWQXHxURaOIHkEn_sEc?authuser=0&hl=es&rclk=1","CIS College","","·","Escuela técnica","·","Haret Hreik, Ghoubeiry Roundabout, facing Abed Tahan CIS College Bldg","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","4,0","(49)","·","+961 1 555 896","http://www.ciscollege.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 20:00"
"https://www.google.es/maps/place/Bir+Hassan+Technical+College+-+Universit/data=!4m7!3m6!1s0x151f1744e461a561:0xf7522f4e02be1e34!8m2!3d33.8669452!4d35.4922998!16s%2Fg%2F1tmcvbzg!19sChIJYaVh5EQXHxURNB6-Ak4vUvc?authuser=0&hl=es&rclk=1","Bir Hassan Technical College - Universit","","·","Universidad","·","VF8R+QWF","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","","3,9","(14)","+961 1 850 272","","https://www.bhtinstitute.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D9%8A%D9%88%D9%86%D8%B3+%D8%A7%D9%85%D8%B1%D8%A9+%D8%A8%D9%8A%D8%B1%D9%88%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x151f17d105e047ff:0x11777a9226ea647c!8m2!3d33.8941147!4d35.4855159!16s%2Fg%2F11nnv9d06j!19sChIJ_0fgBdEXHxURfGTqJpJ6dxE?authuser=0&hl=es&rclk=1","مركز يونس امرة بيروت","No hay reseñas","·","Escuela universitaria","·","VFVP+J6R","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/Leaders+Technology+Center+by+CIS+College/data=!4m7!3m6!1s0x151f17298b4fa9cd:0xe16c2771a8371b46!8m2!3d33.896042!4d35.483959!16s%2Fg%2F1q67k6nvl!19sChIJzalPiykXHxURRhs3qHEnbOE?authuser=0&hl=es&rclk=1","Leaders Technology Center by CIS College","","·","Escuela universitaria","·","·","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","+961 1 340 610","Abierto","4,7","(26)","","","http://www.leaderstrainingcenter.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 21:00"
"https://www.google.es/maps/place/Smart+College+%D9%85%D8%B9%D9%87%D8%AF+%D8%B3%D9%85%D8%A7%D8%B1%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x151f19d15e5dace9:0x8ec6947c584ba683!8m2!3d33.8475634!4d35.5127199!16s%2Fg%2F11g190xrs3!19sChIJ6axdXtEZHxURg6ZLWHyUxo4?authuser=0&hl=es&rclk=1","Smart College معهد سمارت","No hay reseñas","·","·","RGX7+23H","·","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","+961 1 551 026","","","","",""
"https://www.google.es/maps/place/College+Saint-Elie+Btina/data=!4m7!3m6!1s0x151f17f94551ea01:0x48d8ef9e481d848b!8m2!3d33.8784749!4d35.4877618!16s%2Fg%2F11k3xqhyzq!19sChIJAepRRfkXHxURi4QdSJ7v2Eg?authuser=0&hl=es&rclk=1","College Saint-Elie Btina","No hay reseñas","·","Escuela universitaria","·","VFHQ+94J, Habib Abi Chahla","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","","","","+961 1 819 823","","https://www.facebook.com/College-St-Elie-Btina-954576037971617/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/Mesrobian+High+School+and+Technical+College/data=!4m7!3m6!1s0x151f16467749aaf7:0x789ec580eb55f89f!8m2!3d33.890711!4d35.538734!16s%2Fg%2F11byyqghwh!19sChIJ96pJd0YWHxURn_hV64DFnng?authuser=0&hl=es&rclk=1","Mesrobian High School and Technical College","","·","Institución educativa","·","Bourj Hammoud Arax street Beirut, Lebanon","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","5,0","(6)","·","+961 1 260 504","http://www.mesrobian.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 19:00"
"https://www.google.es/maps/place/Al+MAYADEEN+International+College/data=!4m7!3m6!1s0x151f1766f46e1d6b:0xbf71e322d68e59ee!8m2!3d33.8587178!4d35.5039746!16s%2Fg%2F11g9mb6d7v!19sChIJax1u9GYXHxUR7lmO1iLjcb8?authuser=0&hl=es&rclk=1","Al MAYADEEN International College","","·","Escuela","·","VG53+FHQ","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Abierto","⋅ Cierra a las 20:00","5,0","(3)","·","·","","","","+961 78 989 533"
"https://www.google.es/maps/place/National+Protestant+College/data=!4m7!3m6!1s0x151f172a13752207:0xfbcf7e0910adcfa4!8m2!3d33.8969424!4d35.4824626!16s%2Fg%2F11ggrqx14h!19sChIJByJ1EyoXHxURpM-tEAl-z_s?authuser=0&hl=es&rclk=1","National Protestant College","","·","Escuela","·","VFWJ+QXG","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","","5,0","(1)","+961 1 742 318","","http://www.npc.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/Coll%C3%A8ge+Protestant+Fran%C3%A7ais/data=!4m7!3m6!1s0x151f10d2c2a3313b:0xec2ff422c8077d92!8m2!3d33.8916442!4d35.4768642!16s%2Fg%2F11b90n82_q!19sChIJOzGjwtIQHxURkn0HyCL0L-w?authuser=0&hl=es&rclk=1","Collège Protestant Français","","·","Escuela","·","VFRG+MP5, Madam Curie","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","4,4","(72)","·","+961 1 811 892","https://www.cpf.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 17:30"
"https://www.google.es/maps/place/Petit+College+Melkart/data=!4m7!3m6!1s0x151f179527f8672d:0x3f67e90b89058c91!8m2!3d33.8557959!4d35.5431371!16s%2Fg%2F11gbxb59bv!19sChIJLWf4J5UXHxURkYwFiQvpZz8?authuser=0&hl=es&rclk=1","Petit College Melkart","","·","Escuela","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","4,7","(3)","","","","","",""
"https://www.google.es/maps/place/Al-Makassed+College/data=!4m7!3m6!1s0x151f17113acff88d:0xd8a7e4664f0110e2!8m2!3d33.87692!4d35.5064313!16s%2Fg%2F1tp68sfk!19sChIJjfjPOhEXHxUR4hABT2bkp9g?authuser=0&hl=es&rclk=1","Al-Makassed College","","·","Escuela","·","VGG4+QH7","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","","3,8","(33)","+961 1 647 478","","http://kbwhc.almakassed.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/Greenfield+College+-+Beirut,+Lebanon/data=!4m7!3m6!1s0x151f17492c403909:0x8581404988571507!8m2!3d33.8569155!4d35.4987051!16s%2Fg%2F11q26nnhx9!19sChIJCTlALEkXHxURBxVXiElAgYU?authuser=0&hl=es&rclk=1","Greenfield College - Beirut, Lebanon","","·","Escuela","·","VF4X+QF8","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Cierra pronto","3,8","(4)","·","+961 1 841 611","http://greenfieldcollege.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ 15:30 ⋅ Apertura: 7:30 (vie)"
"https://www.google.es/maps/place/Medical+College/data=!4m7!3m6!1s0x151f16d6f1eeec55:0xe1c21b4ea212e1ee!8m2!3d33.8998656!4d35.48551!16s%2Fg%2F1td0kcd2!19sChIJVezu8dYWHxUR7uESok4bwuE?authuser=0&hl=es&rclk=1","Medical College","No hay reseñas","·","Universidad","·","VFXP+W6R","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/Engineering+center/data=!4m7!3m6!1s0x151f11a33e6508d3:0xa7c85620f23e179c!8m2!3d33.8929513!4d35.4774841!16s%2Fg%2F11tc8vzshv!19sChIJ0whlPqMRHxURnBc-8iBWyKc?authuser=0&hl=es&rclk=1","Engineering center","No hay reseñas","·","Escuela universitaria","·","Shannon Hall","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/Hayek+Building/data=!4m7!3m6!1s0x151f17c12ba731db:0x90686c44c6ce9d22!8m2!3d33.8887165!4d35.5245209!16s%2Fg%2F11hzfl0vvw!19sChIJ2zGnK8EXHxURIp3OxkRsaJA?authuser=0&hl=es&rclk=1","Hayek Building","No hay reseñas","·","Colegio mayor","·","VGQF+FRJ","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","·","+961 71 780 151","","","",""
"https://www.google.es/maps/place/Toulouse+College/data=!4m7!3m6!1s0x151f17cff0d0a377:0xdf511b455d80b4e2!8m2!3d33.8512758!4d35.5236542!16s%2Fg%2F11j4xptm98!19sChIJd6PQ8M8XHxUR4rSAXUUbUd8?authuser=0&hl=es&rclk=1","Toulouse College","","·","Escuela","·","VG2F+GF6","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","3,4","(5)","·","+961 5 466 505","","","",""
"https://www.google.es/maps/place/Saint+Mary's+Orthodox+College+(SMOC)/data=!4m7!3m6!1s0x151f1776d843ebc7:0x32aa8877de355df5!8m2!3d33.8835372!4d35.4982223!16s%2Fg%2F11fnb_cj4k!19sChIJx-tD2HYXHxUR9V013neIqjI?authuser=0&hl=es&rclk=1","Saint Mary's Orthodox College (SMOC)","","·","Escuela","·","VFMX+C79","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Cierra pronto","⋅ 16:00 ⋅ Apertura: 7:30 (vie)","5,0","(2)","·","·","","","","+961 1 744 414"
"https://www.google.es/maps/place/Karim/data=!4m7!3m6!1s0x151f1751656b17d5:0x5849d61aad4fb52b!8m2!3d33.8937437!4d35.5406034!16s%2Fg%2F11sq1qk4pk!19sChIJ1RdrZVEXHxURK7VPrRrWSVg?authuser=0&hl=es&rclk=1","Karim","No hay reseñas","·","Escuela universitaria","·","VGVR+F6X","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/College+Des+Fr%C3%A8res+Unis/data=!4m7!3m6!1s0x151f1636e36368e3:0xbdd30b93ac234f14!8m2!3d33.8833454!4d35.5474393!16s%2Fg%2F11g9f28dxy!19sChIJ42hj4zYWHxURFE8jrJML070?authuser=0&hl=es&rclk=1","College Des Frères Unis","","·","Escuela","·","VGMW+8XP","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","4,0","(4)","·","+961 81 230 584","","","",""
"https://www.google.es/maps/place/Coll%C3%A8ge+Elys%C3%A9e+-+Grand+Coll%C3%A8ge/data=!4m7!3m6!1s0x151f1793071811b9:0xab8fc10487bb38f6!8m2!3d33.8519807!4d35.5413311!16s%2Fg%2F1tftnfvw!19sChIJuREYB5MXHxUR9ji7hwTBj6s?authuser=0&hl=es&rclk=1","Collège Elysée - Grand Collège","","·","Escuela","·","+961 5 959 909","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","","","4,0","(7)","","","http://www.collegeelysee.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/H-924+Bldg/data=!4m7!3m6!1s0x151f112744324ec1:0x2d1ec05cf6238781!8m2!3d33.8957855!4d35.4780862!16s%2Fg%2F11fmq9wwdd!19sChIJwU4yRCcRHxURgYcj9lzAHi0?authuser=0&hl=es&rclk=1","H-924 Bldg","No hay reseñas","·","Colegio mayor","·","Hamra, Mahatma Ghandi, H-924 Bldg, 1st Floor Beirut،","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/MUC+University/data=!4m7!3m6!1s0x151f1765d3d20df3:0x93db29cbea4d1041!8m2!3d33.8585819!4d35.5061126!16s%2Fg%2F11dxdg2j6p!19sChIJ8w3S02UXHxURQRBN6ssp25M?authuser=0&hl=es&rclk=1","MUC University","","·","Escuela universitaria","·","Haret Hreik, Al Imam Mousa Al Sader St, Facing Abed Tahan, MUC University, Bldg","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","4,6","(19)","·","+961 1 555 898","http://www.muc.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 21:00"
"https://www.google.es/maps/place/polyglot+technical+college/data=!4m7!3m6!1s0x151f173cf735d283:0xc42f4aaf926f8c56!8m2!3d33.8938422!4d35.5509698!16s%2Fg%2F11p5zkbhz0!19sChIJg9I19zwXHxURVoxvkq9KL8Q?authuser=0&hl=es&rclk=1","polyglot technical college","No hay reseñas","·","Centro educativo","·","bauchrieh Dora, St Joseph","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","","","","+961 1 251 320","","http://www.poyglot.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/%D8%B5%D9%86%D8%AF%D9%88%D9%82+%D8%AA%D8%B9%D8%A7%D8%B6%D8%AF+%D8%A7%D9%81%D8%B1%D8%A7%D8%AF+%D8%A7%D9%84%D9%87%D9%8A%D8%A6%D8%A9+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9+%D9%81%D9%8A+%D8%A7%D9%84%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x151f1707950d9e91:0x7261597f16233e49!8m2!3d33.8767544!4d35.520714!16s%2Fg%2F11c7hdkkn8!19sChIJkZ4NlQcXHxURST4jFn9ZYXI?authuser=0&hl=es&rclk=1","صندوق تعاضد افراد الهيئة التعليمية في المدارس الخاصة","","·","","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","4,5","(2)","","","","","",""
"https://www.google.es/maps/place/Heritage+College/data=!4m7!3m6!1s0x151f19e07f0668b1:0x9aabde6db502f03!8m2!3d33.8506202!4d35.5001907!16s%2Fg%2F11bzv48s_7!19sChIJsWgGf-AZHxURAy9Q2-a9qgk?authuser=0&hl=es&rclk=1","Heritage College","","·","Escuela","·","VG22+63W","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","3,9","(7)","·","+961 1 450 610","https://www.heritagecollege.edu.lb/home","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 17:00"
"https://www.google.es/maps/place/Hotel+Technical+Institute+Dekwaneh/data=!4m7!3m6!1s0x151f17c516656acd:0xf62c7664763c5a66!8m2!3d33.8783962!4d35.5493687!16s%2Fg%2F11gxb2rxc5!19sChIJzWplFsUXHxURZlo8dmR2LPY?authuser=0&hl=es&rclk=1","Hotel Technical Institute Dekwaneh","","·","·","VGHX+9P5","·","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","5,0","(2)","+961 1 687 366","","http://business.facebook.com/hoteltechnicalinstitutedekwaneh/?business_id=164153301307756","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 20:00"
"https://www.google.es/maps/place/COLLEGE+SAINT+MAXIME/data=!4m7!3m6!1s0x151f3d61d2819d49:0x75ccc444de538b86!8m2!3d33.8535003!4d35.5673065!16s%2Fg%2F11bzr782sl!19sChIJSZ2B0mE9HxURhotT3kTEzHU?authuser=0&hl=es&rclk=1","COLLEGE SAINT MAXIME","","·","Escuela","·","VH38+CW3، El Blata","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","3,1","(8)","·","+961 4 531 450","http://www.csmm.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 2:30"
"https://www.google.es/maps/place/Beyhom+badaro+building/data=!4m7!3m6!1s0x151f17d2aee999ab:0x422693bb1c4f56e9!8m2!3d33.8731314!4d35.5141244!16s%2Fg%2F11h0zhtxm_!19sChIJq5nprtIXHxUR6VZPHLuTJkI?authuser=0&hl=es&rclk=1","Beyhom badaro building","","·","Colegio mayor","·","VGF7+7J5","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","5,0","(2)","","","","","",""
"https://www.google.es/maps/place/Coll%C3%A8ge+des+Soeurs+du+Rosaire/data=!4m7!3m6!1s0x151f164ea930fa91:0xe70962b207e48db9!8m2!3d33.8845476!4d35.5379957!16s%2Fg%2F1tf2p8hf!19sChIJkfowqU4WHxURuY3kB7JiCec?authuser=0&hl=es&rclk=1","Collège des Soeurs du Rosaire","","·","Escuela","·","VGMQ+R59","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Cerrado","4,8","(22)","·","+961 1 498 604","http://www.rosaire.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Apertura: 7:00 (vie)"
"https://www.google.es/maps/place/Beirut+Universal+College/data=!4m7!3m6!1s0x151f190484d062f9:0xb67939a5c2875df0!8m2!3d33.8148145!4d35.5225492!16s%2Fg%2F11h3l01vy3!19sChIJ-WLQhAQZHxUR8F2HwqU5ebY?authuser=0&hl=es&rclk=1","Beirut Universal College","No hay reseñas","·","Escuela","·","RG7F+W2F","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","·","+961 3 663 303","","","",""
