"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","W4Efsd 8","lcr4fd href","EgL07d src","R8c4Qb","EgL07d src 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W6VQef"
"https://www.google.es/maps/place/Hopital+des+Soeurs+du+Rosaire/data=!4m7!3m6!1s0x151f16fa1cea912d:0x21139be5525e08e3!8m2!3d33.8955299!4d35.5168929!16s%2Fg%2F1tstmwmp!19sChIJLZHqHPoWHxUR4wheUuWbEyE?authuser=0&hl=es&rclk=1","Hopital des Soeurs du Rosaire","4,4","(35)","·","Hospital","VGW8+6Q6","·","Abierto 24 horas","·","+961 1 440 800","http://www.hopitalrosaire.org/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Sahel+General+Hospital/data=!4m7!3m6!1s0x151f1766ef428093:0xce3c4c6d2d5da943!8m2!3d33.8581376!4d35.5037779!16s%2Fg%2F1tj437z9!19sChIJk4BC72YXHxURQ6ldLW1MPM4?authuser=0&hl=es&rclk=1","Sahel General Hospital","3,3","(75)","·","Hospital","VG53+7G2، Haret Hreik","·","Abierto 24 horas","·","+961 1 858 333","http://www.sahelhospital.com.lb/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sahel Hospital in Beirut and its departments are ...""","·"
"https://www.google.es/maps/place/Bikhazi+Hospital/data=!4m7!3m6!1s0x151f16d788a37585:0xe08d20153969cae6!8m2!3d33.8974444!4d35.4888553!16s%2Fg%2F1tdhpcpb!19sChIJhXWjiNcWHxUR5sppORUgjeA?authuser=0&hl=es&rclk=1","Bikhazi Hospital","3,6","(13)","·","Hospital","·","+961 1 360 890","Abierto 24 horas","","","http://www.bikhazihospital.com/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Saint+George+Hospital+University+Medical+Center/data=!4m7!3m6!1s0x151f16578cc4ed53:0x8a62fdc029d3f29b!8m2!3d33.8937793!4d35.523659!16s%2Fm%2F02rhn1_!19sChIJU-3EjFcWHxURm_LTKcD9Yoo?authuser=0&hl=es&rclk=1","Saint George Hospital University Medical Center","3,7","(150)","·","Hospital universitario","Saint George hospital university medical center","·","Abierto 24 horas","·","+961 1 441 000","https://www.stgeorgehospital.org/contact","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""one of the top hospitals in Beirut and Lebanon""","·"
"https://www.google.es/maps/place/%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89+%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9+-+Al+Hayat+Hospital%E2%80%AD/data=!4m7!3m6!1s0x151f179c495c4f4d:0x3feec411d10e20f!8m2!3d33.8578028!4d35.5252089!16s%2Fg%2F1thzxb71!19sChIJTU9cSZwXHxURD-IQHUHs_gM?authuser=0&hl=es&rclk=1","مستشفى الحياة - Al Hayat Hospital","3,9","(32)","·","Hospital","Al Hayat Hospital Street","·","Abierto 24 horas","·","+961 1 546 200","https://www.alhayat-hospital.com/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Makassed+General+Hospital/data=!4m7!3m6!1s0x151f171419b9a379:0xb3e76f60fbdbbc79!8m2!3d33.8753021!4d35.5040952!16s%2Fg%2F1tdjmx7m!19sChIJeaO5GRQXHxURebzb-2Bv57M?authuser=0&hl=es&rclk=1","Makassed General Hospital","3,1","(105)","·","Hospital","VGG3+4JH، Makassed Hospital Street","·","Abierto 24 horas","·","+961 1 636 000","http://makassedhospital.org/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""This is my Hospital when i was born in Beirut 26 October 2001 in ...""","·"
"https://www.google.es/maps/place/Military+Hospital/data=!4m7!3m6!1s0x151f170efafb202b:0x793ed6e82a2ff3c0!8m2!3d33.8741562!4d35.5133418!16s%2Fg%2F1x6n4jn4!19sChIJKyD7-g4XHxURwPMvKujWPnk?authuser=0&hl=es&rclk=1","Military Hospital","4,4","(30)","·","Hospital","VGF7+M88","·","Abierto 24 horas","·","+961 1 395 400","http://www.lebarmy.gov.lb/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Bahman+Hospital/data=!4m7!3m6!1s0x151f1763d20be94b:0x3da294614b9b4ddd!8m2!3d33.853537!4d35.5060463!16s%2Fg%2F11hyn3d7vq!19sChIJS-kL0mMXHxUR3U2bS2GUoj0?authuser=0&hl=es&rclk=1","Bahman Hospital","3,9","(81)","·","Hospital general","VG34+CC7","·","Abierto 24 horas","·","+961 1 544 000","http://www.bahmanhospital.com/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/American+University+of+Beirut+Medical+Center/data=!4m7!3m6!1s0x151f16d7ca5c2365:0xd929ac8a06540191!8m2!3d33.8977754!4d35.4858408!16s%2Fg%2F11c0phwqjh!19sChIJZSNcytcWHxURkQFUBoqsKdk?authuser=0&hl=es&rclk=1","American University of Beirut Medical Center","3,7","(320)","·","Hospital","·","+961 1 350 000","Abierto 24 horas","","","https://aubmc.org.lb/pages/home.aspx","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/LAU+Medical+Center-Rizk+Hospital/data=!4m7!3m6!1s0x151f170247c61139:0xd9ea41e9cfc6011e!8m2!3d33.885264!4d35.515033!16s%2Fm%2F010qmj0j!19sChIJORHGRwIXHxURHgHGz-lB6tk?authuser=0&hl=es&rclk=1","LAU Medical Center-Rizk Hospital","3,9","(175)","·","Hospital universitario","Zahar Street","·","Abierto 24 horas","·","+961 1 200 800","http://www.laumcrh.com/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""one of the best hospitals in Beirut""","·"
"https://www.google.es/maps/place/H%C3%B4pital+Fran%C3%A7ais+du+Levant/data=!4m7!3m6!1s0x151f17b6ff1be959:0x7899b3ac8ce3eeed!8m2!3d33.8714218!4d35.5405441!16s%2Fg%2F1tf04qmp!19sChIJWekb_7YXHxUR7e7jjKyzmXg?authuser=0&hl=es&rclk=1","Hôpital Français du Levant","3,6","(62)","·","Hospital","Fouad Shehab Street","·","Abierto 24 horas","·","+961 1 501 500","http://www.cliniquedulevantsm.com/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Lebanese+Canadian+Hospital/data=!4m7!3m6!1s0x151f17b105d61085:0xf146000dbce84f80!8m2!3d33.872063!4d35.5350664!16s%2Fg%2F1tfdgptp!19sChIJhRDWBbEXHxURgE_ovA0ARvE?authuser=0&hl=es&rclk=1","Lebanese Canadian Hospital","3,5","(29)","·","Hospital","VGCP+R2G","·","·","Abierto 24 horas","+961 1 511 488","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","",""
"https://www.google.es/maps/place/Almashrek+Hospital+Emergency+Room/data=!4m7!3m6!1s0x151f17b6fcc465ed:0x32333379462a500f!8m2!3d33.871487!4d35.5405186!16s%2Fg%2F11c46gqv65!19sChIJ7WXE_LYXHxURD1AqRnkzMzI?authuser=0&hl=es&rclk=1","Almashrek Hospital Emergency Room","4,1","(7)","·","Hospital","VGCR+H6R","·","Abierto ahora","·","+961 1 501 500","https://www.cliniquedulevantsm.com/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Zahraa+Hospital/data=!4m7!3m6!1s0x151f1750fb2d8955:0x6e1f91d0f1747a00!8m2!3d33.8640184!4d35.4868211!16s%2Fg%2F1tdjlnzp!19sChIJVYkt-1AXHxURAHp08dCRH24?authuser=0&hl=es&rclk=1","Zahraa Hospital","3,7","(77)","·","Hospital universitario","VF7P+JVR، جناح","·","Abierto 24 horas","·","+961 1 851 040","http://www.zhumc.org.lb/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Egyption+hospital/data=!4m7!3m6!1s0x151f17ae80bcf2dd:0x963cda5514e9047!8m2!3d33.8703641!4d35.5076345!16s%2Fg%2F11h3wq7qcm!19sChIJ3fK8gK4XHxURR5BOUaXNYwk?authuser=0&hl=es&rclk=1","Egyption hospital","","","·","Hospital","VGC5+43R","","","","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","",""
"https://www.google.es/maps/place/Ghourayeb/data=!4m7!3m6!1s0x151f171a56abc685:0x437e9f21655d56b0!8m2!3d33.8817247!4d35.5079892!16s%2Fg%2F1tjxc07y!19sChIJhcarVhoXHxURsFZdZSGffkM?authuser=0&hl=es&rclk=1","Ghourayeb","5,0","(1)","·","Hospital","VGJ5+M5Q","·","·","Abierto 24 horas","+961 1 632 920","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","",""
"https://www.google.es/maps/place/Hospital/data=!4m7!3m6!1s0x151f17c6021f36af:0xa995ebac0e46ab2c!8m2!3d33.889223!4d35.555297!16s%2Fg%2F11gnrlvjvp!19sChIJrzYfAsYXHxURLKtGDqzrlak?authuser=0&hl=es&rclk=1","Hospital","","","·","Hospital","VHQ4+M4M","·","","Abierto ahora","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","",""
"https://www.google.es/maps/place/Al+Hayek/data=!4m7!3m6!1s0x151f17b0ba18c721:0x7e1ca53d2526f9dc!8m2!3d33.8704316!4d35.5378376!16s%2Fg%2F1tfn58n7!19sChIJIccYurAXHxUR3PkmJT2lHH4?authuser=0&hl=es&rclk=1","Al Hayek","4,3","(25)","·","Hospital","VGCQ+54G","·","·","Abierto","+961 1 481 333","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","",""
"https://www.google.es/maps/place/Boulevard+medical+center/data=!4m7!3m6!1s0x151f1708e125f09f:0xbb2284ed2c1d4a27!8m2!3d33.874112!4d35.5180344!16s%2Fg%2F11hcy_bg28!19sChIJn_Al4QgXHxURJ0odLO2EIrs?authuser=0&hl=es&rclk=1","Boulevard medical center","","","·","Hospital","VGF9+J6V","","","","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","",""
"https://www.google.es/maps/place/Lebanese+Hospital+Geitaoui/data=!4m7!3m6!1s0x151f165afd5d8bc1:0x7d1f937b9659db5b!8m2!3d33.8937125!4d35.5305881!16s%2Fg%2F1tjjrmdq!19sChIJwYtd_VoWHxURW9tZlnuTH30?authuser=0&hl=es&rclk=1","Lebanese Hospital Geitaoui","3,2","(114)","·","Hospital","Geitaoui Street","·","Abierto 24 horas","·","+961 1 590 000","https://www.hopital-libanais.com/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jeitaoui Hospital is the first in Beirut, and the departments in it go to ...""","·"
"https://www.google.es/maps/place/%D8%A8%D8%A7%D8%B3%D8%AA%D9%88%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x151f17de6e5d93af:0x213a959d30e3cd5e!8m2!3d33.8955299!4d35.5168929!16s%2Fg%2F11jtt5xgpb!19sChIJr5Ndbt4XHxURXs3jMJ2VOiE?authuser=0&hl=es&rclk=1","باستور","","","·","Hospital","VGW8+6Q6","","","","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","",""
