full_id,osm_id,osm_type,amenity,website,internet_access:ssid,addr:postcode,diet:vegan,capacity,addr:housenumber,operator,shop,payment:visa,payment:debit_cards,payment:coins,payment:cash,payment:cards,diet:vegetarian,diet:organic,contact:email,bar,air_conditioning,delivery,level,smoking,branch,name:de,internet_access:fee,addr:housename,internet_access,description,contact:mobile,addr:street,addr:city,wheelchair,takeaway,official_name:en,official_name:ar,official_name,contact:website,brand:wikipedia,brand:wikidata,brand:en,brand:ar,brand,alt_name,outdoor_seating,opening_hours,name_alt,name:fr,name:en,name:ar,name,cuisine,contact:phone
n4742712244,"4742712244",node,cafe,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,Al Khawaja,,Al Khawaja,,
n4742747342,"4742747342",node,cafe,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,Prince,,Prince,,
n4742801114,"4742801114",node,cafe,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,CaféSho,,
n4769214771,"4769214771",node,cafe,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,é Café,إي كافيه,إي كافيه,,
n4770857337,"4770857337",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Place de l'Étoile,ساحة النجمة,ساحة النجمة,,
n4789701329,"4789701329",node,cafe,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,info@breakfast-barn.com,no,yes,yes,"2",,,,no,,yes,,,Achrafieh Debbas,بيروت,,,,,,https://www.breakfast-barn.com/,,,,,,,yes,Mo-Su 07:30-21:00,,,,,Breakfast Barn,"coffee_shop;breakfast;healthy","+9611333532"
n4815606981,"4815606981",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Square Café,Square Café,,Square Café,,
n4817891304,"4817891304",node,cafe,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,Quarter,Quarter,,Quarter,,
n4820070915,"4820070915",node,cafe,,,,,,,,coffee,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee and more,القهوة وأكثر من ذلك,القهوة وأكثر من ذلك,,
n4893005723,"4893005723",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grand cafe,غراند كافيه,غراند كافيه,,
n4932236722,"4932236722",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyrano,,Cyrano,,
n4958091822,"4958091822",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cappuccino,Cappuccino,,Cappuccino,,
n4984801257,"4984801257",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Cafe,,Green Cafe,,
n4984801260,"4984801260",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast to Breakfast,,Breakfast to Breakfast,,
n4984801265,"4984801265",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L'Escroc,,L'Escroc,,
n4984833112,"4984833112",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee Bean and Tea Leaf,Coffee Bean and Tea Leaf,,Coffee Bean and Tea Leaf,,
n4984922131,"4984922131",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قهوة الزعيم,قهوة الزعيم,,
n4984922142,"4984922142",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juice Up,,Juice Up,,
n5023883134,"5023883134",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Café du coin,,
n5024204727,"5024204727",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,بيروت,,,,,,,,,,,,,,,,,Cremino,كريمينو,كريمينو,,
n5024251821,"5024251821",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pâte à Choux,,
n5024452524,"5024452524",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,بيروت,,,,,,,,,,,,,,,,Passion Juice,Passion Juice,باشن جوز,باشن جوز,,
n5024476421,"5024476421",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qasr al-Halwayat,قصر الحلويات,قصر الحلويات,,
n5028425133,"5028425133",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verdun Corner Coffee,,Verdun Corner Coffee,,
n5028425138,"5028425138",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Les Gourmandises,لو غورمانديز,لو غورمانديز,,
n5028425156,"5028425156",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حلم,حلم,,
n5028425159,"5028425159",node,cafe,,,,,,,Starbucks,,,,,,,,,,,,,,,,,,,,,,,,,yes,Starbucks Coffee,ستاربكس كافية,ستاربكس كافية,,ar:ستاربكس,Q37158,Starbucks,ستاربكس,ستاربكس,,,,,Starbucks,Starbucks,ستاربكس,ستاربكس,coffee_shop,
n5028425163,"5028425163",node,cafe,,,,,,,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goodies,,Goodies,,
n5028481743,"5028481743",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,شارع إميل أده,,,,,,,,,,,,,,,,,,Brew Cafe,,Brew Cafe,,
n5028481748,"5028481748",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy Barbar,Juicy Barbar,بربر الحمرا,بربر الحمرا,juice,
n5028481752,"5028481752",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retro Cafe,,Retro Cafe,,
n5028536116,"5028536116",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Café Saea,سعا,سعا,,
n5028573867,"5028573867",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cafe Chouchou,,Cafe Chouchou,,
n5028573881,"5028573881",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n5030311048,"5030311048",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,no,,wlan,,,,,,yes,,,,,,,,,,,yes,,,,Nestle Toll House,,Nestle Toll House,"ice_cream;coffee_shop",
n5030311049,"5030311049",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C House Cafe Milano,,C House Cafe Milano,,
n5030311051,"5030311051",node,cafe,,,,,,,,,,,,,,,,,,,,,outside,Rouche,,no,,wlan,,,,,,yes,,ستاربكس كفي,Starbucks Coffee,,en:Starbucks,Q37158,Starbucks,ستاربكس,Starbucks,,yes,,,Starbucks,Starbucks,ستاربكس,Starbucks,coffee_shop,
n5034169127,"5034169127",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n5034169128,"5034169128",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n5039300556,"5039300556",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Café Younes,,
n5039300557,"5039300557",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timeout,,Timeout,,
n5042812077,"5042812077",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Honoré,,
n5050433993,"5050433993",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,WiFi Cafe,WiFi Cafe,,WiFi Cafe,,
n5146598122,"5146598122",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,Sole insight,,Sole insight,,
n5163832021,"5163832021",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tabbal Street,,,,,,,,,,,,,,,,,,E box,,E box,,
n5165064423,"5165064423",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,en:Caribou Coffee,Q5039494,,,Caribou Coffee,,,,,Caribou Coffee,Caribou Coffee,,Caribou Coffee,coffee_shop,
n5197445821,"5197445821",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheesecake Factory,,Cheesecake Factory,,
n5271970852,"5271970852",node,cafe,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,no,,,,,,,,,,,,,,,Urbanista,,Urbanista,,
n5271970856,"5271970856",node,cafe,,,,,,,,clothes,,,,,,,,,,,,"3",,,,,,,,,,,,no,,,,,,,,,,,,,,,,,Cozmo Café,,
n5271985846,"5271985846",node,cafe,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,Casper & Gambini's,,Casper & Gambini's,,
n5278040025,"5278040025",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oh Bakehouse,,Oh Bakehouse,,
n5346905821,"5346905821",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,كافه الحكمه,كافه الحكمه,,
n5349366122,"5349366122",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,بيروت,,,,,,,,,,,,,,,,,Café Younes,مقهى يونس,مقهى يونس,,
n5370507525,"5370507525",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CaféSho,,
n5400946522,"5400946522",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,بيروت,,,,,,,,,,,,,,,,,Nahreez,مقهى نهريز,مقهى نهريز,,
n5412056421,"5412056421",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ka3kaya,كعكايه,كعكايه,,
n5413772125,"5413772125",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasty cafe,,Tasty cafe,,
n5456561618,"5456561618",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C'Bon Café,,
n5554822564,"5554822564",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Havre pour les artistes,Haven for Artists,,Havre pour les artistes,,
n5580429779,"5580429779",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espresso & Orange,,
n5586759599,"5586759599",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Grid],,[Grid],,
n5628761021,"5628761021",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n5630037952,"5630037952",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Croissant Maro,,
n5641015126,"5641015126",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee Stand,موقف القهوة,موقف القهوة,,
n5660372821,"5660372821",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tota,Tota,,توتا,,
n5763252274,"5763252274",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Café Noja,Noja cafe,,Café Noja,,
n5872949506,"5872949506",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,شارع محمد عبد الباقي,,,,,,,,,,,,,,,,,,The Beazbee,,The Beazbee,breakfast,
n5872951086,"5872951086",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Let's Eat,,Let's Eat,,
n5902292585,"5902292585",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dar El-Gemmayzeh,,Dar El-Gemmayzeh,,
n5943129604,"5943129604",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houn-Beirut,,Houn-Beirut,,
n5964891473,"5964891473",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backburner,,
n5964891479,"5964891479",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Daily Roast,,The Daily Roast,,
n5965637819,"5965637819",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n5968279586,"5968279586",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B coffee bar,,B coffee bar,,
n5968294485,"5968294485",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iman,Iman,,Iman,,
n5968306192,"5968306192",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urbanista,,Urbanista,,
n5968338485,"5968338485",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6131331519,"6131331519",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6225446085,"6225446085",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curli-Q,,Curli-Q,,
n6262258725,"6262258725",node,cafe,,,,,,,,,,,,,,,,,,,,,outside,,,no,,yes,,,,,,,,,,,,,,,,,yes,,,,,,Kalei,international,
n6433669286,"6433669286",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The High Llama,,
n6868144885,"6868144885",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,كورنيش بيروت,,,,,,,,,,,,,,,,,Casablanca,Casablanca,,Casablanca,,
n6968701782,"6968701782",node,cafe,,,,,"20","57",,,,,,,,,,,,,,,,,,,,wlan,,,شارع دار المريسة,عين المريسة,,,,,,,,,,,,,no,,,,Cafe Adam,,Cafe Adam,"coffee_shop;ice_cream",
n6994442185,"6994442185",node,cafe,,,,yes,,,,,,,,,,,,,,,,,,,,,,wlan,,,Rue 51 شارع ٥١,,,,,,,,,,,,,,,,,Coconix,Coconix,,Coconix,"breakfast;coffee_shop;french",
n7147465486,"7147465486",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قهوة مونتيكارلو - رخيصة,,
n7227070001,"7227070001",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pause Cafè,,Pause Cafè,,
n7227508285,"7227508285",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whistles,,,,
n7229915634,"7229915634",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n7363729211,"7363729211",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n7469501751,"7469501751",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,argile,,
n7469501754,"7469501754",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,argile,,
n7494735954,"7494735954",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قهوة أيام اللولو,,
n7572828604,"7572828604",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قهوة هووك,Hook Cafe,,
n7574794095,"7574794095",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,no,,wlan,,,شارع مدام كوري,بيروت,,,,,,,,,,,,,,,,,Urbanista,,Urbanista,coffee_shop,
n7592159996,"7592159996",node,cafe,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,كافيه كوبا,Cuba Cafe,,
n7667336603,"7667336603",node,cafe,,,,,"15",,,,,,,,,,,,,,,,,,,no,,wlan,,,,,,,,,,,,,,,,Bn Coffee Bar,yes,,,,Bn Coffee Bar,قهوة بن,Bن Coffee Bar,coffee_shop,
n7726644685,"7726644685",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,شارع أرمينيا,,,,,,,,,,,,,,,,,,Caffe Positano,,,,
n7934759085,"7934759085",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adiba Ishac,,,,,,,,,,,,,,,,,,"""Notes"" Cafe",,"""Notes"" Cafe",,
n8483239611,"8483239611",node,cafe,,,,,,راس النبع,,,,,,,,,,,,,,,,,,,,no,,,شارع بشارة الخوري,بيروت,,,,,,,,,,,,,no,Mo-Su 07:00-22:00,,,,,Café عصير صقر,ice_cream,"+9611632010"
n8806922447,"8806922447",node,cafe,http://nope.com,Nour,"1103",,,no,,,,,,,,,,,,yes,,,,,,customers,,yes,,,idea,Beyrouth,,,,,,,,,,,,,yes,Mo-Sa 08:00-18:00,,,,,Trop Cool Cafe,"coffee_shop;sandwich;ice_cream",
n8815787714,"8815787714",node,cafe,,Cozy,,,,,,,,,,,,,,,,,,,,,,no,,wlan,,"+96170665665",,,,,,,,,,,,,,,yes,Mo-Su 08:00-00:00,,,,,cozy cafe,"oreo_shakes;minted_lemonade;cappuccino",
n8905141917,"8905141917",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ستار بوكس الروشة,,
n8999390217,"8999390217",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,كوفي افندينا,,
n9021031617,"9021031617",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,كوفي عزمي,,
n9135247294,"9135247294",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi 1 Vu,,
n9135247311,"9135247311",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sultan palace,,
n9213700292,"9213700292",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terghale,,
n9213700293,"9213700293",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,Q16829306,,,Chatime,,,,,,,,Chatime,bubble_tea,
n9213700297,"9213700297",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A305,,
