"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","EgL07d src","R8c4Qb","W4Efsd 7","W4Efsd 8","W4Efsd 9","lcr4fd href","EgL07d src 2","R8c4Qb 2"
"https://www.google.es/maps/place/Ahliah+School/data=!4m7!3m6!1s0x151f16de659436ed:0xe354845537f19cca!8m2!3d33.8967189!4d35.4979732!16s%2Fm%2F04lhdq8!19sChIJ7TaUZd4WHxURypzxN1WEVOM?authuser=0&hl=es&rclk=1","Ahliah School","4,0","(25)","·","Escuela","·","VFWX+M5Q","·","Cierra pronto","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ 15:30 ⋅ Apertura: 8:00 (vie)","·","+961 1 372 960","https://www.ahliahschool.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Makassed+Ali+Ben+Abi+Taleb+School/data=!4m7!3m6!1s0x151f1702bebc1d97:0x39276fea7ef617c7!8m2!3d33.8870146!4d35.5121456!16s%2Fg%2F11c56r9p1y!19sChIJlx28vgIXHxURxxf2fupvJzk?authuser=0&hl=es&rclk=1","Makassed Ali Ben Abi Taleb School","3,0","(2)","·","Escuela","·","VGP6+RV2","·","","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","","+961 1 325 371","","http://abatc.almakassed.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Al+Amir+Shakib+Arslan+Primary+School/data=!4m7!3m6!1s0x151f172d84363b6d:0xe651dfaff4625eb!8m2!3d33.8886725!4d35.4817113!16s%2Fg%2F11f15f4rt6!19sChIJbTs2hC0XHxUR6yVG__odZQ4?authuser=0&hl=es&rclk=1","Al Amir Shakib Arslan Primary School","3,0","(8)","·","Escuela de primaria","·","VFQJ+FM8","·","·","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Cerrado","⋅ Apertura: 8:00 (sáb)","+961 1 791 690","","",""
"https://www.google.es/maps/place/Jobran+Andraous+Tweini+Public+School/data=!4m7!3m6!1s0x151f17d9427189f1:0x6055d0d45881fffe!8m2!3d33.8688878!4d35.4919466!16s%2Fg%2F11f6316n_p!19sChIJ8YlxQtkXHxUR_v-BWNTQVWA?authuser=0&hl=es&rclk=1","Jobran Andraous Tweini Public School","4,0","(1)","·","Escuela","·","VF9R+HQ4","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Adventist+School+Bouchrieh/data=!4m7!3m6!1s0x151f162f96075ed9:0x797d6de19b3f63f6!8m2!3d33.8814707!4d35.5570391!16s%2Fg%2F1pp2vbx1c!19sChIJ2V4Hli8WHxUR9mM_m-FtfXk?authuser=0&hl=es&rclk=1","Adventist School Bouchrieh","4,6","(18)","·","Colegio privado","·","Ferdous street, Sabtieh","·","Abierto","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ Cierra a las 16:30","·","+961 1 689 089","http://www.bass.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Rawdah+High+School/data=!4m7!3m6!1s0x151f17601ea34b1d:0xfed842d3cddcb493!8m2!3d33.8530511!4d35.5007977!16s%2Fg%2F11cltqz311!19sChIJHUujHmAXHxURk7TczdNC2P4?authuser=0&hl=es&rclk=1","Rawdah High School","4,2","(30)","·","Instituto de secundaria","·","·","+961 1 450 947","Cerrado","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ Apertura: 6:00 (vie)","","","https://rhs.edu.lb/rhs/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/City+Modern+School/data=!4m7!3m6!1s0x151f1789efe93641:0x4731ffb68100e53f!8m2!3d33.8545517!4d35.4986777!16s%2Fg%2F11j8whmzx0!19sChIJQTbp74kXHxURP-UAgbb_MUc?authuser=0&hl=es&rclk=1","City Modern School","5,0","(1)","·","Escuela","·","Airport Road","·","·","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Cierra pronto","⋅ 15:30 ⋅ Apertura: 7:30 (vie)","+961 1 859 901","","",""
"https://www.google.es/maps/place/Mosaytbeh+Seventh-day+Adventist+School/data=!4m7!3m6!1s0x151f173ad8f73e37:0x58d5aa088959d4a6!8m2!3d33.884194!4d35.4917347!16s%2Fg%2F11c1r20bvt!19sChIJNz732DoXHxURptRZiQiq1Vg?authuser=0&hl=es&rclk=1","Mosaytbeh Seventh-day Adventist School","4,0","(2)","·","Escuela de primaria","·","VFMR+MMH","·","","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","","+961 1 819 742","","http://www.mass.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Cambridge+School/data=!4m7!3m6!1s0x151f17301bdfb65f:0xdfdc8073b663fd7d!8m2!3d33.8958306!4d35.4932075!16s%2Fg%2F11fp8c7043!19sChIJX7bfGzAXHxURff1jtnOA3N8?authuser=0&hl=es&rclk=1","Cambridge School","","","·","Escuela","·","VFWV+87P","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Al+Sanabel+School/data=!4m7!3m6!1s0x151f16e05f4f2d6d:0x81e27d5fc440e84b!8m2!3d33.8937913!4d35.5017767!16s%2Fg%2F11dxbsp42m!19sChIJbS1PX-AWHxURS-hAxF994oE?authuser=0&hl=es&rclk=1","Al Sanabel School","3,0","(4)","·","Escuela","·","+961 1 477 437","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Shakib+Erslan+School/data=!4m7!3m6!1s0x151f172e143495c9:0xd95bbb1ef95b8a69!8m2!3d33.8887398!4d35.4818454!16s%2Fg%2F11dxc06431!19sChIJyZU0FC4XHxURaYpb-R67W9k?authuser=0&hl=es&rclk=1","Shakib Erslan School","5,0","(2)","·","Escuela","·","VFQJ+FPX","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Hariri+High+School+3/data=!4m7!3m6!1s0x151f176993bb3b23:0x26c1a624b2bc7786!8m2!3d33.8660902!4d35.5023221!16s%2Fg%2F11bz_ygfrz!19sChIJIzu7k2kXHxURhne8siSmwSY?authuser=0&hl=es&rclk=1","Hariri High School 3","3,9","(17)","·","Instituto de secundaria","·","Ard Jalloul, Tareek Al Jadeeda","·","Cerrado","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ Apertura: 7:30 (vie)","·","+961 1 855 575","http://www.hariri3.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Hariri+High+School+2/data=!4m7!3m6!1s0x151f1720b87fcc1f:0x92513f630a617740!8m2!3d33.8912868!4d35.4965254!16s%2Fg%2F11c1nwzmlw!19sChIJH8x_uCAXHxURQHdhCmM_UZI?authuser=0&hl=es&rclk=1","Hariri High School 2","3,9","(19)","·","Escuela","·","VFRW+GJ6","·","Cerrado","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ Apertura: 7:30 (vie)","·","+961 1 373 310","http://www.hhs2.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Al+Salam+School/data=!4m7!3m6!1s0x151f16464a910625:0xba16dd769571ca97!8m2!3d33.8894585!4d35.5410294!16s%2Fg%2F11f3rx1dck!19sChIJJQaRSkYWHxURl8pxlXbdFro?authuser=0&hl=es&rclk=1","Al Salam School","3,0","(2)","·","Escuela","·","VGQR+QCJ","·","+961 1 267 664","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Maria+school/data=!4m7!3m6!1s0x151f16f9caae7ddd:0x6d04cfdafa47a47b!8m2!3d33.8942619!4d35.5191813!16s%2Fg%2F11f3qyd3r_!19sChIJ3X2uyvkWHxURe6RH-trPBG0?authuser=0&hl=es&rclk=1","Maria school","5,0","(1)","·","Escuela","·","VGV9+PM3","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/American+Community+School+Beirut/data=!4m7!3m6!1s0x151f112ac43094eb:0x375dd65f5cf6492c!8m2!3d33.9009116!4d35.4760925!16s%2Fm%2F027z_xc!19sChIJ65QwxCoRHxURLEn2XF_WXTc?authuser=0&hl=es&rclk=1","American Community School Beirut","4,0","(59)","·","Escuela","·","·","+961 1 374 370","Cierra pronto","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ 16:00 ⋅ Apertura: 7:30 (vie)","","","http://www.acs.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Ahmad+School/data=!4m7!3m6!1s0x151f170b8149b61d:0x778cc2652cc092fb!8m2!3d33.8838864!4d35.4973743!16s%2Fg%2F11mtd6gbm6!19sChIJHbZJgQsXHxUR-5LALGXCjHc?authuser=0&hl=es&rclk=1","Ahmad School","","","·","Escuela","·","VFMW+HW5","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Besancon+-+School/data=!4m7!3m6!1s0x151f179ac9cfddf5:0x459c7015979982b!8m2!3d33.8528518!4d35.5322227!16s%2Fg%2F1w1416dg!19sChIJ9d3PyZoXHxURK5h5WQHHWQQ?authuser=0&hl=es&rclk=1","Besancon - School","4,3","(12)","·","Colegio privado","·","VG3J+4VX","·","","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","","+961 5 467 077","","http://www.besancon.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Gebran+Ghassan+Tueni+Ashrafieh+first+public+high+school/data=!4m7!3m6!1s0x151f17193ce922bf:0x9925ed374393ce58!8m2!3d33.883655!4d35.517178!16s%2Fg%2F11gycm87j5!19sChIJvyLpPBkXHxURWM6TQzftJZk?authuser=0&hl=es&rclk=1","Gebran Ghassan Tueni Ashrafieh first public high school","5,0","(2)","·","Escuela","·","VGM8+FV7","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Azarieh+-+School/data=!4m7!3m6!1s0x151f16ff5933353f:0x4f04401c24a9a038!8m2!3d33.8887674!4d35.5217717!16s%2Fg%2F1td8gb_g!19sChIJPzUzWf8WHxUROKCpJBxABE8?authuser=0&hl=es&rclk=1","Azarieh - School","4,8","(6)","·","Escuela","·","VGQC+GP2","·","·","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Abierto","⋅ Cierra a las 21:00","+961 1 201 814","","",""
"https://www.google.es/maps/place/Riad+El+Solh+Official+School/data=!4m7!3m6!1s0x151f17197a9c62e1:0xe7c756acb3738e62!8m2!3d33.8835663!4d35.5049097!16s%2Fg%2F11cs2vzt99!19sChIJ4WKcehkXHxURYo5zs6xWx-c?authuser=0&hl=es&rclk=1","Riad El Solh Official School","5,0","(2)","·","Escuela","·","VGM3+CXF","·","·","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Cerrado","⋅ Apertura: 8:00 (sáb)","+961 1 632 008","","",""
"https://www.google.es/maps/place/Al+Kuwait+Public+School-+Haret+Hraik/data=!4m7!3m6!1s0x151f1779ad8e5625:0x361f100a8a1040e4!8m2!3d33.8545924!4d35.5190375!16s%2Fg%2F11c476373k!19sChIJJVaOrXkXHxUR5EAQigoQHzY?authuser=0&hl=es&rclk=1","Al Kuwait Public School- Haret Hraik","4,5","(6)","·","Escuela","·","VG39+RJM","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Future+Public+School/data=!4m7!3m6!1s0x151f171f9d4d79f5:0x3c27b09c15174ac9!8m2!3d33.8893366!4d35.5007938!16s%2Fg%2F11cs1sh0pb!19sChIJ9XlNnR8XHxURyUoXFZywJzw?authuser=0&hl=es&rclk=1","Future Public School","2,8","(5)","·","Colegio público","·","VGQ2+P8M","·","+961 1 657 811","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Armenian+Evangelical+Central+High+School-+Ashrafieh/data=!4m7!3m6!1s0x151f1659604d9853:0xefc6720d171935db!8m2!3d33.8963647!4d35.5278349!16zL20vMGM1bjdn!19sChIJU5hNYFkWHxUR2zUZFw1yxu8?authuser=0&hl=es&rclk=1","Armenian Evangelical Central High School- Ashrafieh","5,0","(1)","·","Escuela","·","VGWH+G4W","·","","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","","+961 1 442 594","","http://www.aechs.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Eastwood+International+School+Beirut/data=!4m7!3m6!1s0x151f17d9ad7ec6bf:0xe3fd9932ab7da573!8m2!3d33.859362!4d35.5632947!16s%2Fg%2F11xm35g2s!19sChIJv8Z-rdkXHxURc6V9qzKZ_eM?authuser=0&hl=es&rclk=1","Eastwood International School Beirut","4,9","(142)","·","Escuela","·","Sami Solh Street Mansourieh el Metn","·","Cierra pronto","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ 16:00 ⋅ Apertura: 7:30 (vie)","·","+961 4 409 307","https://eastwoodis.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Beirut+Baptist+School/data=!4m7!3m6!1s0x151f1723517b5e8f:0xf93e4cb98c751632!8m2!3d33.8839476!4d35.4953463!16zL20vMDdzcDVi!19sChIJj157USMXHxURMhZ1jLlMPvk?authuser=0&hl=es&rclk=1","Beirut Baptist School","4,1","(56)","·","Escuela","·","Photo Walid، Maalouf Street, Msaytbeh facing","·","Cierra pronto","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ 15:30 ⋅ Apertura: 7:30 (vie)","·","+961 1 818 474","http://www.bbs.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/International+College/data=!4m7!3m6!1s0x151f3f2620d97ac3:0x77daa6e57d8df6c0!8m2!3d33.8996413!4d35.4776053!16s%2Fm%2F02q9_6f!19sChIJw3rZICY_HxURwPaNfeWm2nc?authuser=0&hl=es&rclk=1","International College","4,0","(57)","·","Colegio privado","·","VFXH+V25","·","Cierra pronto","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ 15:15 ⋅ Apertura: 8:30 (vie)","·","+961 1 374 980","http://www.ic.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Tekeyan+Intermediate+school/data=!4m7!3m6!1s0x151f16417de67703:0x51eb0e8b897a481f!8m2!3d33.8959863!4d35.5385724!16s%2Fg%2F11dztrjly0!19sChIJA3fmfUEWHxURH0h6iYsO61E?authuser=0&hl=es&rclk=1","Tekeyan Intermediate school","4,5","(2)","·","Escuela","·","VGWQ+9CW","·","","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","","+961 1 260 525","","http://www.vahantekeyan.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/st+joseph+maronite+school/data=!4m7!3m6!1s0x151f17bbc1269d39:0x84186b04cd036673!8m2!3d33.891921!4d35.5434463!16s%2Fg%2F11h1rmt300!19sChIJOZ0mwbsXHxURc2YDzQRrGIQ?authuser=0&hl=es&rclk=1","st joseph maronite school","","","·","Centro escolar","·","VGRV+Q98","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Sheyah+St+Mary+School/data=!4m7!3m6!1s0x151f1773866529b1:0x30819b2be197f309!8m2!3d33.8642296!4d35.5162704!16s%2Fg%2F11fzd36102!19sChIJsSllhnMXHxURCfOX4SubgTA?authuser=0&hl=es&rclk=1","Sheyah St Mary School","5,0","(1)","·","Escuela","·","VG78+MGR","·","+961 3 826 046","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Hawd+Al+Wilaya+Highschool+-+%D8%AB%D8%A7%D9%86%D9%88%D9%8A%D8%A9+%D8%AD%D9%88%D8%B6+%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x151f1721dfa71413:0xb0422116727ee761!8m2!3d33.8884905!4d35.4999865!16s%2Fg%2F11c1p1j2x3!19sChIJExSn3yEXHxURYed-chYhQrA?authuser=0&hl=es&rclk=1","Hawd Al Wilaya Highschool - ثانوية حوض الولاية","4,0","(4)","·","Instituto de secundaria","·","VFQX+9XX","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Omar+Fakhoury+Official+School/data=!4m7!3m6!1s0x151f17063a52b595:0x722308c0b2d361a6!8m2!3d33.8688483!4d35.492128!16s%2Fg%2F11jjv_0x1b!19sChIJlbVSOgYXHxURpmHTssAII3I?authuser=0&hl=es&rclk=1","Omar Fakhoury Official School","","","·","Escuela","·","VF9R+GVJ","·","+961 1 823 441","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Shamelian-Tatigian+High+school/data=!4m7!3m6!1s0x151f16443505b23d:0x51a4c70d163a103e!8m2!3d33.891991!4d35.5371872!16s%2Fg%2F1vzxh567!19sChIJPbIFNUQWHxURPhA6Fg3HpFE?authuser=0&hl=es&rclk=1","Shamelian-Tatigian High school","4,6","(10)","·","Instituto de secundaria","","","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Haifa+school+unrwa/data=!4m7!3m6!1s0x151f175e612e1137:0xd6e7f9484d71c559!8m2!3d33.857591!4d35.4976788!16s%2Fg%2F11g70wydf4!19sChIJNxEuYV4XHxURWcVxTUj559Y?authuser=0&hl=es&rclk=1","Haifa school unrwa","5,0","(1)","·","Escuela","·","VF5X+23M","·","+961 1 857 332","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Lemonts+Montessori+Preschool/data=!4m7!3m6!1s0x151f16e37c048895:0x802cde9b9005d41d!8m2!3d33.8937309!4d35.5086802!16s%2Fg%2F11c0pztk2m!19sChIJlYgEfOMWHxURHdQFkJveLIA?authuser=0&hl=es&rclk=1","Lemonts Montessori Preschool","5,0","(4)","·","Guardería","·","·","+961 1 971 490","Cerrado","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ Apertura: 8:00 (vie)","","","http://www.lemontspreschool.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Dr.+Sobhi+Saleh+Public+School/data=!4m7!3m6!1s0x151f1744f7e350cb:0xb3091a7ca6a47245!8m2!3d33.867628!4d35.49261!16s%2Fg%2F11g8cwbz9z!19sChIJy1Dj90QXHxURRXKkpnwaCbM?authuser=0&hl=es&rclk=1","Dr. Sobhi Saleh Public School","5,0","(1)","·","Escuela","·","VF9V+325","·","+961 1 833 793","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Green+lebanon+school/data=!4m7!3m6!1s0x151f173e1499d843:0x407cadf45f3c5cab!8m2!3d33.891026!4d35.4995162!16s%2Fg%2F11fj7xc0sx!19sChIJQ9iZFD4XHxURq1w8X_StfEA?authuser=0&hl=es&rclk=1","Green lebanon school","3,7","(3)","·","Escuela","·","Zokak Al Bilat, Hamade Street, Near Arab Institute Est Beirut","·","Cerrado","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ Apertura: 8:00 (vie)","·","+961 1 377 148","https://facebook.com/Green.Lebanon.School.GL","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/Lyc%C3%A9e+National+Schools/data=!4m7!3m6!1s0x151f1745f8a7ffe9:0xf64bd86538cd7f8b!8m2!3d33.8705215!4d35.4887046!16s%2Fg%2F1td8gnp3!19sChIJ6f-n-EUXHxURi3_NOGXYS_Y?authuser=0&hl=es&rclk=1","Lycée National Schools","3,7","(21)","·","Colegio privado","·","VFCQ+6F4 Sersok St","·","","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","","+961 1 822 909","","http://www.le-lycee-national.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
